,IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
30,SMA,334.87,36.99,55.49,30.34,Santa Maria/Azoren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PNL,303.83,-16.68,14.21,-7.91,Pantanal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,THY,17.54,46.9,92.25,41.72,Tihany,97.0,99.0,94.0,88.0,98.0,99.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,99.0,97.0,94.0,93.0,96.0,96.0,96.0,92.0,97.0,34.0,37.0
33,BEL,20.8,51.83,96.27,47.71,Belsk,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,36.0,100.0,98.0,96.0,100.0,97.0,95.0,96.0,96.0,93.0,38.0
34,FUR,11.28,48.17,87.05,43.2,Furstenfeldbruk,98.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,91.0,100.0,63.0,97.0,97.0,92.0,95.0,98.0,93.0,99.0,100.0,39.0
35,NGK,12.68,52.07,89.28,48.03,Niemegk,94.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,100.0,100.0,41.0
36,BDV,14.02,49.07,89.64,44.35,Budkov,74.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,100.0,98.0,68.0,96.0,79.0,90.0,93.0,86.0,44.0,99.0,99.0,100.0,38.0
37,FRD,282.63,38.2,-0.64,48.05,Fredericksburg,100.0,99.0,100.0,100.0,99.0,100.0,100.0,98.0,97.0,95.0,99.0,99.0,98.0,97.0,98.0,100.0,99.0,99.0,98.0,97.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,97.0,85.0,34.0
38,CRP,275.09,10.44,-12.58,21.63,Chiripa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,HYB,78.6,17.4,151.87,10.36,Hyderabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,90.0,98.0,100.0,49.0,80.0,100.0,26.0,0.0,95.0,65.0,10.0,62.0,49.0,88.0,0.0
